label,komentar
1,Mantapppp Original Masih segel Sesue deskripsi Fast respon Rekomended
1,packing aman respon cepat
0,tidak ada plastik buat hp nya garansi sdh sobek
0,kecewa sama kurirnya aja kelamaan
1,mantep puas banget
1,proses pengiriman cepat packingan rapi respon cepat mantul
1,Barangnya original Kemasan disegel Warna sesuai pesanan Berfungsi dengan baik Ada garansi resmi Kelengkapan sesuai Spesifikasi sesuai Baterai awet Proses pesanan cepat Penjualnya ramah banget Barangnya mulus Respon penjualnya top Packaging aman Kamera tajam Suara jernih Packaging rapi
1,Proses pesanan cepat Barangnya original
0,Pelayanan nya sangat kurang baik soal saya beli produk nya hp di kirim nya flashdisk benar parah toko j3 oplus
0,Pelayanan reseler kurang memuaskan Ditanya tanya kurang sopan
0,Bonus tidak sesuai penawaran alias kurang yang lain aman saat ini
1,Barang dikemas dengan baik ada bubble wrap nya jadi barang aman bonusnya lengkap hpnya original bisa nyala berfungsi dengan baik mydh2an hpnya bisa awet mksh shopper dan seller mydh2an bisa jadi langganan ytk pembelian berikutnya revommended
0,Gak sesuai deskripsi
1,baik sampainya cepat kemasannya terbungkus rapi realpeact semoga tahan cuma baru beberapa jam pakek hpnya udah panas semoga awet lahh
1,Semuanya hampir lengkap gurita tempered glassnya ada di dlm box untuk kamera belakangnya udah sangat baik di outdoor Tapi jgn berharap lebih untuk kamera selfienya karena cuma 5 Mp
0,hp nya sampai dengan keadaan baik semoga selalu amanah ya sist dan lancar usahanya.
0,hpnya tergores dan mati
0,pembukusannya kurang rapi sampai hp saya rusak
1,hpnya berjalan normal dan berfungsi dengan baik
1,warnanya sangat keren dan juga dengan spek yang tinggi diharga murah
0,barangnya tidak sesui yang digambar dan juga salah pengiriman
1,akhirnya yg ditunggu2 sudah sampai suka banget SM produknyasesuai ekspektasi semoga awet hp nya terimakasih
0,Packing super tidak aman masak d taruhin bublewrap cma sehelai doank blm lagi packing plastik sdh tdk original dri pabrik ini liat sendiri d foto yg saya lampirkan smga isinya tdk mengecewakan pengiriman super lama
0,Qrain bukan repack nyesel order disini ternyata repack kemasan ulang tidak rapi
0,untuk expedisi nya ga banget barang sampe 1minggu lebih klo mau pesen hp disini jgn pake expedisi shope deh mengecewakan
0,Maaf saya harus kasih bintang satu baru 2 hari hp sudah eror Tidak bisa beli barang di sini lagi Hati hati
0,Pengiriman yg berbelit belit
1,hpnya super canggih dari kualitas dan speknya sesui deskripsi
1,keren dan mantab
1,Warna sesuai pesanan Berfungsi dengan baik
1,barang yang datang juga sesuai sama yang dipesan Oke banget deh pelayanan dari tokonya juga oke
1,Ada garansi resmi Kemasan disegel Kelengkapan sesuai Spesifikasi sesuai Barangnya mulus
1,dikasih ram besar diharga murah mantap luar biasa
0,hp langsung mati saat dipake
0,kurang awet meskipun spek tinggi tetep lemot
0,barangnya cepet rusak
0,layar hp banyak yang retak pengemasan yang kurang rapi
1,pengemasan mantap banyak bonus tambahan luar biasa
1,isi box lengkap barang ori tidak ada masalah hardware dan software sampai saat ini
1,Ada garansi resmi Kemasan disegel Warna sesuai pesanan Spesifikasi sesuai Barangnya mulus
1,Aman packingnya mantap hpny agak bisa ke lain hati HP yg dulu juga redmi awet sampek 5thn
1,hpnya oke
0,Ini penipuan yg dikirim tidak sesuai dengan deskripsi produk saya pesan Hp OPPO A31 harga 1.3 jt Tapi yg dikirim malah OPPO F9 Pro yg harga 800ribuan di google
0,Hp diterima memang dlm keadaan masih segel plastik Dusnya tapi setelah kita cek imei ternyata imei yg terdaftar itu tidak sesuai dengan unit hp yg kita beli setelah di coba pemakaian lebih dr seminggu batre nya masalah Gampang bgd lowbatt Udh chat seller ga dibls
0,Tapi sayang gak sesuai deskripsi Disitu 128 tapi pas dipakai cuma 48 gb romnya
0,Kualitas produk kurang baik Saat memutar video kualitasnya sangat jelek pecah dan putus putus Batok charger tidak berfungsi
0,Jaringan SIM 2 sulit mau kartu apa pun
0,Batre cepat habis
0,Hp murah tp murahan charger palsu batre masih 35%sudah mati total komplain ke penjual nya suruh diretur giliran diretur hp dibalikin lg masih tetep kondisi nya
0,sangat kecewa di toko ini produk rusak masih dikirm
0,Hp nya lumayan lah walaupun ternyata pas di cek lebih detail ram 4 cas an kabel data headset Kualitas kurang
1,barangnya sudah sampai sesuai pesanan packing keren safety banget langsung test ok semua terimakasih gan
1,packing rapi banget dan aman sampai di pakein peti kayu mungkin demi keamanan puas semoga aja gk ada kendala Hpnya
0,hpnya kurang bagus variasi warnanya kurang cocok sama gak dapet bonus
1,Bagus sampainya cepat aman gak ada yang lecet
0,baterainya boros
0,bonusnya sedikit
1,Mantap keren bagus murah Recomended Pesan ini agak takut Tpi emang bener bagus barangnya Makasih ya kak
1,Barangbnya joossss masih segel pengiriman cepat tidak ada minus nya mantap dahhh toko ini
1,Sudah sampai dengan aman packing nya rapi hp nya sesuai dengan pesanannya terima kasih
1,Bagus ori pengiriman cepat owner ramah paket kumplit silikon carjer henset normal semua the best pokoknya
1,Barang bagus dan sesuai dengan deakripsi semuanya lengkap charger handset casing hp mulus
0,barangnya tidak sesui ramnya 4 tapi masih lemot
0,brau buka lcdnya malah rusak tidak bisa dipencet
1,Sudah dicoba semua berfungsi dan begitu lihat RAMnya wow mantul
0,barang tidak sesui permintaan warnanya yang diminta salah
1,hpnya lacar jaya dan canggih mantap
1,pertama kali coba salfok sama kameranya mantap
1,mantap ramnya besar kualitas mantap suka sekali dah
0,kondisnya banyak yang rusak dan juga ada yang hilang
0,trus knpa ya tiba2 batrai nya low trus habis di cas full trus jarang di pake tiba2 langsung mati hpnya
1,hpnya ORI pengiriman cepet responnya baik kondisi hp nya sangat baik
1,Pengiriman sangat safety sampe dipakein kayu gitu Semua isinya jg komplit Semoga hp nya awet Sukses selalu seller
1,barang sudah sampai dengan selamat Alhamdulillah barang nya bagus karena ori
0,chargernya tidak berfungsi
0,hp mati saat dicas
0,chargernya tidak ori
0,baru dipakai layar langsung error
1,Hp mantul kk pegiriman cepat semoga aja awet dan tidak ada kendala pokonya rekomen untuk toko ini
1,Baguss sesuai apa yang diinginkan
0,Hp nya rusak Tombol on off nya tidak berfungsi dan kalau mau di charger tidak bisa
0,Casannya Gak berfungsi dan gada tulisan Oppo nya jugaa kaya nya bukan casan ORI bawaan hp Pagi batre 100% 2jam berikutnya langsung 30%
0,Hp tidak mau dicas Minta penilaian kok ngancam dihangusin garasinya
0,Ini ga muncul muncul ka signalnya pdhl udah ganti bbrp no
0,sinyal tidak mau muncul dan wifinya rusak
0,produknya tidak lengkap slot untuk sim card rusak
0,tombol power volume tidak mau dipencet
0,tombol volume rusak salah satunya
0,suara speaker pecah padahal beli baru sudah rusak
0,Tombol volume ke bawahnya ga bisa Sama tmpt SIM-card nya rada keras pas mau d keluarin
0,Saya kecewa banget karena hp nya mati
1,karena ramnya gede hp terasa enteng buat game
0,ga ada sinyal 2G dan 3G epek nya gabisa telpon dan cek pulsa hanya ada sinyal 4G jadi tlpon nya cuma bisa lewat WhatsApp Carger juga lokal ringan banget di angkat nya
1,wifinya mantap bisa mengakap sinyal yang jauh
0,baru sampai performa buruk lemot ram kecil teknologinya juga yang alama hp kw
0,udah retur karna kepala cas nya mati batre drop eeh yang datang malah ga da kepala casnya parah ni produk ga rekomended sama sekali
0,Gak di apain belum nyampe 24jam ditangan muncul garis garis seperti digambar
0,layarnya bergaris garis
1,lednya mulus sakli pencet langsung respon warna juga menarik
1,barang ori
1,kalau oficial store pasti memuaskan baik dari barang yg original dan pengiriman yg cepat TOP BGT dah
1,bagus langsung di proses packing rapih buble wrapt HP diterima dg aman sesuai speck
1,HP berfungsi dengan baik Terima kasih seller amanah
0,Baterai nya Ng drop
0,Maaf kak hp nya tidak suport game Saya juga beli buat maen game ff pun hitam gk bisa maen
0,Parah belum 1 hari di pake udah drop sering mati matian
0,Barang ga cocok
1,pengiriman cepat barang sesuai dan bagus
1,Kayak biasa hapenya oke di range harganya
0,hpnya mudah panas
0,tidak sesui deskripsi dan juga hpnya lemot
1,Hp nya sesuai ekspektasi
1,hpnyaaa bagusss gak ada kendala apa apa masih bersegel kualitas terjaminnn
1,Barang sampe dengan aman packing juga baik barang tidak ada yang lecet
1,Dpt HP cantik hrga terjangkau suka Semua segel aman dan sangat amanah
1,Barang sesuai deskripsi barang nya ok banget semoga awet
1,hp nya pun bagus tapi di anti gores nya agak sedikit gores tapi selebihnya aman dan gak nyesel beli hp melalui online
1,Bagus bgt Semoga awet iya
1,Barang sesuai dangan gambar N berfungsi semuanya trimakasih atas barangnya N puas blanja dsini
0,Tidak sesuai deskripsi di deskripsi ram 4 Ternyata cuma 3 Begitu juga Rom nya hanya 64 GB Tidak sesuai dan HPnya susah sekali menangkap signal internet lelet
0,Hp nya rusak Tombol on off nya tidak berfungsi dan kalau mau di charger tidak bisa
0,Barang sudah sampe tapi kepala ces nya gak ada kurang lengkap
0,Semua produk di toko ini semua nya NON ORIGINAL Ketika mau di cancel kita di suruh paksain kasih rating bintang 5 Mau reture barang dipaksa juga kasih rating bintang dan hp nya udah RUSAK BATRE NYA SOAK Resseler ngga amanah toko ilegal
1,Packingnya aman hpnya ori
0,mesinnya ga ori dlmnya ga ori penyimpanannya juga palsu ram 4gb penyimpanan 64gb
1,produk sesuai deskripsi namun tidak sesuai pilihan pembeli
0,Batre drop charger gak bisa pantes murah setelah saya bawa ke oppo center buat ganti batre ternyata mesin hp china tapi gpp lah yg penting sudah ganti batre
0,Kepala cas nya tk mau cas ny lambat masuk kadang eror batrai nya cepat habis
0,Tombol volume tidak berfungsi
1,barangnya bagus
1,pengemasanya mantap
1,ini mah keren packingnya salut mah terbaik
1,tidak menyesal beli hp disini harga murah tapi kualitas mantap
0,Tolong lebih teliti lagi kaca kamera yang belakang gak ada
0,kameranya tidak berfungsi
1,performa bagus kenceng
1,ruang penyimpanan gede mantap aku suka
1,Sesuai deskripsi Jos gendos mantapz Djiwa bosku
0,Tombol buat hidupin gk berfungsi untung di belakang ada sidik jari tapi klo hp ny mati nyalain nya gmna sma baterainya ngurangin sndri pdhl gk di pake
1,Hp ori pengiriman cepat cuma proses yang sedikit terhambat toko nya amanah
1,Kerenn bagi yang bilng ramnya sesuai Bagus semoga awet maksih min sukses selalu
1,mantap barang udh sampai barang ori masih segel plastik rekomen bgt blanja disini pertahan kan kak kurir jg ramah packing rapih aman jos pokok nya
1,pengiriman cepat handphone bagus warna sesuai packing aman
1,Barangnya sudah mendarat dengan cepat dan selamat semoga barang awet dan aman aman aja
0,Pesan nya warna hitam yg dateng gren hemm
0,warna tidak sesuai yang dipesan
1,kondisi mulus dan perfect
0,Minta warna hijau datang hitam
0,Pesen hitam yg dikirim merah
0,Kecewa sama kualitas hp nya Masa baru dtg pas dites kamera malah forceclose Lain kali diperiksa dulu ya
0,Casan tidak ori
0,casan rusak
0,casan error gak bisa di pakai
0,Kabel data ga bisa di pakai ga bisa charge
0,penjualnya gak respon
0,penjualnya kurang ramah
0,lama kalu balasnya
0,penjualnya tidak tanggung jawab
1,kualitas produk mulus
0,maaf ka ak ksih bntang 4 aku minta warna putih yang di kirim warna hitam
0,Masih segel an IMEI sama tapi nggak tau kenapa batrenya boros banget
